Item	Name	InUse	Type	primary_key	NotNull	Unique	Default	FK_Table	FK_Column	onCopy	Comment
	ruShortName	TRUE	varchar(80)	FALSE	FALSE	FALSE				TRUE	Краткое наименование юридического лица без указания формы собственности
	residence	TRUE	varchar(8)	FALSE	FALSE	FALSE	'RUS'			TRUE	Код страны налоговой принадлежности / резидентство - краткое наименование по справочнику [ОКСМ](https://classifikators.ru/oksm). Допускается только латиница, только трехбуквенный код (Alfa-3), прописные буквы.
	inn	TRUE	varchar(32)	FALSE	FALSE	FALSE				TRUE	Unique Taxation Number (code) - индивидуальный номер налогоплательщика. Резидент - российское юр. лицо
	cpp	TRUE	varchar(32)	FALSE	FALSE	FALSE				TRUE	Код причины постановки на учет (специфично для РФ). Как правило указывается в паре после указания ИНН
	ogrn	TRUE	varchar(50)	FALSE	FALSE	FALSE				TRUE	Общий государственный регистрационный номер юридического лица (для резидентов РФ)
	city	TRUE	varchar(80)	FALSE	FALSE	FALSE				TRUE	Город (самостоятельная позиция, выделенная из полного адреса)
	legalAddress	TRUE	varchar(255)	FALSE	FALSE	FALSE				TRUE	Адрес юр. лица в формате строки, валидной в контексте требований АСУХД ЕОГ
	actualAddress	TRUE	varchar(255)	FALSE	FALSE	FALSE				TRUE	Адрес юр. лица в формате строки, валидной в контексте требований АСУХД ЕОГ
	enFullName	TRUE	varchar(255)	FALSE	FALSE	FALSE				TRUE	(EN) Полное наименование компании на английском языке
	OktmoIssues	TRUE	text[]	FALSE	FALSE	FALSE				TRUE	Код территории муниципального образования. До 01.01.2014 - ОКАТО [ОКТМО](https://classifikators.ru/Oktmo)
	OkvedIssues	TRUE	text[]	FALSE	FALSE	FALSE				TRUE	Код вида экономической деятельности. По [ОКВЭД 2](https://classifikators.ru/Okved)
	bankEntityId	TRUE	uuid	FALSE	FALSE	FALSE		BankEntity	localId	TRUE	Ссылка на банк, в котором открыт расчетный счет
	rubAccountNumber	TRUE	varchar(32)	FALSE	FALSE	FALSE				TRUE	Номер расчетного счета (в рублях)
	intlAccountNumber	TRUE	varchar(32)	FALSE	FALSE	FALSE				TRUE	Номер валютного расчетного счета
	intlAccountCurrencyCode	TRUE	varchar(32)	FALSE	FALSE	FALSE				TRUE	Код валюты по валютному расчетному счету: трехбуквенный код в формате [ISO 4217](https://www.iban.ru/currency-codes). Допускается только латиница, только трехбуквенный код, прописные буквы.
	metaSourceName	TRUE	varchar(50)	FALSE	FALSE	FALSE				TRUE	Meta - Наименование внешнего источника
	metaSourceTimeStamp	TRUE	timestamp	FALSE	FALSE	FALSE				TRUE	Meta - Timestamp последнего изменения во внешнем источнике
	metaSourceRowLoadedAt	TRUE	timestamp	FALSE	FALSE	FALSE				TRUE	Meta - Дата/время первичной загрузки данных из внешнего источника. Формат YYYY-MM-DD (ISO 8601)
	metaSourceRowVersion	TRUE	bigint	FALSE	FALSE	FALSE				TRUE	Meta - Номер версии во внешнем источнике
	metaLocalTimeStamp	TRUE	timestamp	FALSE	FALSE	FALSE				TRUE	Meta - Timestamp последнего изменения в данной таблице
	metaRowAllowed	TRUE	bool	FALSE	TRUE	FALSE				TRUE	Meta - Признак активности данных в текущей строке (TRUE - строка активна)
	metaRowValidTo	TRUE	timestamp	FALSE	FALSE	FALSE				TRUE	Meta - Предельный срок валидности данных в текущей строке. Формат YYYY-MM-DDTHH:MM:SS (ISO 8601). NULL - срок валидности не установлен. Данные валидны без ограничения по сроку.
	updatedAt	TRUE	timestamp	FALSE	TRUE	FALSE	now()			FALSE	Дата последнего обновления. Формат YYYY-MM-DD (ISO 8601)
	createdAt	TRUE	timestamp	FALSE	TRUE	FALSE	now()			FALSE	Дата создания записи в локальном справочнике (кеше). Формат YYYY-MM-DDTHH:MM:SS (ISO 8601).
#		FALSE		FALSE	FALSE	FALSE				FALSE	
#	bic	FALSE	varchar(32)	FALSE	FALSE	FALSE				TRUE	БИК БАНКА
#	centralBankAffiliation	FALSE	varchar(255)	FALSE	FALSE	FALSE				TRUE	Принадлежность к филиалу ЦБ РФ
#	cbrfAccount	FALSE	varchar(32)	FALSE	FALSE	FALSE				TRUE	Номер корреспондентского счета в ЦБ РФ. Резидент - российское юр. лицо
#	cbrfLicense	FALSE	varchar(32)	FALSE	FALSE	FALSE				TRUE	Номер лицензии ЦБ РФ
#	cbrfRegistrationDate	FALSE	date	FALSE	FALSE	FALSE				TRUE	Дата регистрации. Формат  YYYY-MM-DD (ISO 8601)
#	swift_code	FALSE	varchar(32)	FALSE	FALSE	FALSE				TRUE	Уникальный SWIFT-код в системе международных межбанковских расчетов
#	parentBic	FALSE	varchar(32)	FALSE	FALSE	FALSE				TRUE	БИК родительской банковской организации
#	ruRatingAgency	FALSE	varchar(255)	FALSE	FALSE	FALSE				TRUE	РФ - Рейтинговое агентство
#	ruRatingLevel	FALSE	varchar(32)	FALSE	FALSE	FALSE				TRUE	РФ - Текущий рейтинг
#	ruRatingUpdatedAt	FALSE	date	FALSE	FALSE	FALSE				TRUE	РФ - Дата обновления данных по рейтингу. Формат YYYY-MM-DD (ISO 8601)
#	intlRaitingAgency	FALSE	varchar(32)	FALSE	FALSE	FALSE				TRUE	International - Рейтинговое агентство
#	intlRaitingLevel	FALSE	varchar(255)	FALSE	FALSE	FALSE				TRUE	International - Текущий рейтинг
#	intlRatingUpdatedAt	FALSE	date	FALSE	FALSE	FALSE				TRUE	International - Дата обновления данных по рейтингу. Формат YYYY-MM-DD (ISO 8601)
--- end of table		FALSE		FALSE	FALSE	FALSE				TRUE	
Table	PersonalityEntity	TRUE		FALSE	FALSE	FALSE				FALSE	Данные физ. лица - резидент РФ (без привязки к какой-либо компании)
	id	TRUE	serial	FALSE	TRUE	TRUE	 			FALSE	Локальный порядковый Id. PK / Индексом не является. Не может использоваться в качестве пары в PK/FK Relation
